序号,★古树名木编号,古树群编号,调查样方号,★古树名木类别,★省名称,★省编码,★市名称,★市编码,★县名称,★县编码,★乡镇（街道）,★乡镇（街道）编码,村（居委会）,村（居委会）编码,小地名,★树种-科,★树种-属,★树种-中文名,树种-学名,树种-俗名,★生长场所,★分布特点,★经度,★纬度,★权属,特征代码,★树龄,古树等级,★树龄测定方法,★树高（米）,★胸围（厘米）,★地围（厘米）,★平均冠幅（米）,★东西冠幅（米）,★南北冠幅（米）,海拔（米）,坡向,坡度,坡位,★土壤类型,★土层厚度,★土壤紧密度,★生长势,★生长环境,树体损伤,树体损伤具体描述,潜在损伤原因,潜在损伤原因其他描述,★新增古树名木原因,古树历史资料,★养护责任人类别,★养护责任人,★主管部门,树木奇特状况描述,树种鉴定记载,保护措施,养护复壮现状,照片说明,★照片数量,照片保存位置,死亡时间,死亡原因,处置措施,移植时间,移植原因,原地信息,移植方案,★调查人,★调查日期,审核人,审核日期,名木类别,名木栽植人,名木栽植日期,原挂牌号,档案年度,备注,省古树编号
148,203,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02762917°,48.72457900°,国有,,175,3,回归估测,15,185.26,238.64,3,3,3,1373.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
149,204,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02767900°,48.72466767°,国有,,229.12,3,回归估测,16,226.08,310.86,3.25,3.5,3,1372.6,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
150,205,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02769183°,48.72466483°,国有,,195.86,3,回归估测,16,197.82,307.72,3,3,3,1374.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
151,206,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02759450°,48.72483567°,国有,,319.66,3,回归估测,20,303.01,408.2,3,4.5,2.5,1375.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
152,207,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02730517°,48.72494000°,国有,,206.95,3,回归估测,18,207.24,298.3,3.5,3,4,1378.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
153,208,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02706817°,48.72549583°,国有,,105.58,3,回归估测,20,210.38,276.32,4.25,5,3.5,1373.1,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
154,211,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,松属,五针松,Pinus sibirica,,乡村,散生,87.02589117°,48.72724633°,国有,,151.52,3,回归估测,14,160.14,191.54,4,4,4,1372.1,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
155,212,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02521483°,48.72860817°,国有,,186.7,3,回归估测,18,191.54,273.18,4.5,4,5,1372.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
156,213,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02500667°,48.72870950°,国有,,206.95,3,回归估测,15,207.24,288.88,4.5,4,5,1373,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
157,215,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02468817°,48.72901483°,国有,,203.25,3,回归估测,16,204.1,263.76,2.5,4,3,1371.2,无坡向,平坡,平地,灰色森林土,20,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
