序号,★古树名木编号,古树群编号,调查样方号,★古树名木类别,★省名称,★省编码,★市名称,★市编码,★县名称,★县编码,★乡镇（街道）,★乡镇（街道）编码,村（居委会）,村（居委会）编码,小地名,★树种-科,★树种-属,★树种-中文名,树种-学名,树种-俗名,★生长场所,★分布特点,★经度,★纬度,★权属,特征代码,★树龄,古树等级,★树龄测定方法,★树高（米）,★胸围（厘米）,★地围（厘米）,★平均冠幅（米）,★东西冠幅（米）,★南北冠幅（米）,海拔（米）,坡向,坡度,坡位,★土壤类型,★土层厚度,★土壤紧密度,★生长势,★生长环境,树体损伤,树体损伤具体描述,潜在损伤原因,潜在损伤原因其他描述,★新增古树名木原因,古树历史资料,★养护责任人类别,★养护责任人,★主管部门,树木奇特状况描述,树种鉴定记载,保护措施,养护复壮现状,照片说明,★照片数量,照片保存位置,死亡时间,死亡原因,处置措施,移植时间,移植原因,原地信息,移植方案,★调查人,★调查日期,审核人,审核日期,名木类别,名木栽植人,名木栽植日期,原挂牌号,档案年度,备注,省古树编号
221,287,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03426667°,48.69338900°,国有,,181.1,3,回归估测,14,188.4,188.4,8,8,8,1395.6,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
222,288,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03427483°,48.69341433°,国有,,203.25,3,回归估测,16,204.1,219.8,7,6,8,1393.8,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
223,289,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03438867°,48.69352267°,国有,,181.1,3,回归估测,15,188.4,219.8,3,3,3,1393,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
224,290,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03453933°,48.69362750°,国有,,168.4,3,回归估测,15,182.12,188.4,5.5,6,5,1395.5,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
225,291,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03478100°,48.69371883°,国有,,266.08,3,回归估测,18,257.48,298.3,6.5,8,5,1398.1,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
226,292,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03479633°,48.69389650°,国有,,206.95,3,回归估测,17,207.24,219.8,5,5,5,1394.9,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
227,293,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03487667°,48.69405017°,国有,,221.73,3,回归估测,17,219.8,266.9,6.5,7,6,1392.3,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
228,294,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03684817°,48.69882433°,国有,,232.82,3,回归估测,17,229.22,251.2,5.5,5,6,1396.5,无坡向,平坡,平地,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
229,295,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03667417°,48.70190033°,国有,,221.73,3,回归估测,17,219.8,266.9,4.5,4,5,1402.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
230,296,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03657800°,48.70395867°,国有,,203.25,3,回归估测,16,204.1,251.2,5,4,6,1407.9,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
231,297,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03612933°,48.70388333°,国有,,221.73,3,回归估测,17,219.8,251.2,7,6,8,1406.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
232,298,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03604617°,48.70391117°,国有,,203.25,3,回归估测,16,204.1,282.6,8,9,7,1407.9,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
233,299,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02828050°,48.70679750°,国有,,210.65,3,回归估测,17,210.38,251.2,5,4,6,1389.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
234,300,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03197767°,48.70690933°,国有,,191.7,3,回归估测,15,194.68,219.8,7.5,7,8,1391.6,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
235,301,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03548200°,48.70771567°,国有,,221.73,3,回归估测,16,219.8,282.6,6,6,6,1404.9,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
236,302,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03494350°,48.71170600°,国有,,240.21,3,回归估测,16,235.5,266.9,10.5,10,11,1423.9,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
237,303,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03144033°,48.71548867°,国有,,251.3,3,回归估测,17,244.92,260.62,10,10,10,1408.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
238,304,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03504100°,48.69878600°,国有,,240.21,3,回归估测,17,235.5,282.6,8.5,8,9,1388.1,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
239,305,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03506367°,48.69873967°,国有,,232.82,3,回归估测,17,229.22,273.18,4,4,4,1388,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
240,306,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03509133°,48.69871633°,国有,,251.3,3,回归估测,17,244.92,292.02,5,5,5,1388.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
241,307,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03503933°,48.69842667°,国有,,210.65,3,回归估测,16,210.38,235.5,6,6,6,1398.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
242,308,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03499650°,48.69838517°,国有,,214.34,3,回归估测,16,213.52,251.2,9,9,9,1399.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
243,309,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03479833°,48.69812417°,国有,,240.21,3,回归估测,16,235.5,266.9,4,4,4,1397.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
244,310,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03458400°,48.69765300°,国有,,232.82,3,回归估测,17,229.22,254.34,4,5,3,1390.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
245,311,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03446683°,48.69762500°,国有,,210.65,3,回归估测,17,210.38,266.9,3.5,3,4,1384.9,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,有断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
246,312,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03091500°,48.69211650°,国有,,181.1,3,回归估测,15,188.4,204.1,4,4,4,1380.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
247,313,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,哈纳斯村,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03097167°,48.69197483°,国有,,195.86,3,回归估测,15,197.82,219.8,4.5,4,5,1378.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
248,314,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04663300°,48.63559050°,国有,,191.7,3,回归估测,15,194.68,251.2,5,5,5,1424.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
249,315,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04676933°,48.63517083°,国有,,232.82,3,回归估测,17,229.22,244.92,4,5,3,1427.5,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
250,316,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04684417°,48.63461133°,国有,,181.1,3,回归估测,16,188.4,210.38,4,4,4,1432.5,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
251,317,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04690783°,48.63462200°,国有,,232.82,3,回归估测,17,229.22,251.2,4.75,5,4.5,1429,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
252,318,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04640733°,48.63437283°,国有,,114.24,3,回归估测,16,226.08,260.62,3.75,3,4.5,1414.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
253,319,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04609367°,48.63463333°,国有,,214.34,3,回归估测,16,213.52,235.5,4.5,4,5,1410.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
254,320,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04599717°,48.63469967°,国有,,240.21,3,回归估测,16,235.5,282.6,3.75,3.5,4,1410.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
255,321,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04525750°,48.63693150°,国有,,195.86,3,回归估测,18,197.82,251.2,4.75,4,5.5,1412.5,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
256,322,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04560917°,48.63790600°,国有,,221.73,3,回归估测,18,219.8,266.9,8.25,8,8.5,1407.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
257,323,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04569717°,48.63818583°,国有,,181.1,3,回归估测,15,188.4,219.8,2.75,2.5,3,1404.1,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
258,324,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04567450°,48.63829767°,国有,,277.17,3,回归估测,18,266.9,304.58,3.25,3,3.5,1405.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
259,325,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04514800°,48.64068183°,国有,,214.34,3,回归估测,14,213.52,251.2,5.75,6,5.5,1384.7,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
260,326,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04463767°,48.64111867°,国有,,107.32,3,回归估测,15,213.52,235.5,5,4,6,1379.9,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
261,327,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04349083°,48.64273967°,国有,,203.25,3,回归估测,15,204.1,219.8,3,2.5,3.5,1376.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
262,328,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04350400°,48.64309367°,国有,,191.7,3,回归估测,15,194.68,219.8,3.25,3.5,3,1383.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
263,329,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04352650°,48.64349450°,国有,,229.12,3,回归估测,17,226.08,251.2,3.5,3,4,1387.1,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
264,330,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04355283°,48.64474617°,国有,,203.25,3,回归估测,16,204.1,235.5,3.25,3,3.5,1382.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
265,331,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.04341783°,48.64520800°,国有,,122.89,3,回归估测,16,241.78,282.6,3,3,3,1385,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
266,332,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04336983°,48.64680883°,国有,,191.7,3,回归估测,15,194.68,219.8,4.5,4,5,1377.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
267,333,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04315917°,48.64808550°,国有,,240.21,3,回归估测,17,235.5,282.6,3,3,3,1370.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
268,334,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04323800°,48.64804000°,国有,,295.64,3,回归估测,18,282.6,329.7,4.75,4,5.5,1374,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
269,335,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04335883°,48.64806750°,国有,,240.21,3,回归估测,16,235.5,282.6,7.25,8,6.5,1374.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
270,336,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04404850°,48.64812717°,国有,,251.3,3,回归估测,18,244.92,282.6,5.75,6.5,5,1381.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
271,337,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04415400°,48.64809400°,国有,,221.73,3,回归估测,16,219.8,251.2,5,5,5,1383.3,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
272,338,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04333567°,48.64874450°,国有,,351.08,3,回归估测,20,329.7,376.8,7.75,8,7.5,1368.6,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
273,339,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,卧龙湾-鸭泽湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.04335483°,48.64918450°,国有,,229.12,3,回归估测,18,226.08,266.9,2.5,2.5,2.5,1368.2,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
